session_id,user_query,url,title,snippet,relevance
0,"when was the last time capulin erupted
",https://earthobservatory.nasa.gov/images/88581/capulin-volcano-national-monument,Capulin Volcano National Monument,"Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller ...",NR
0,"when was the last time capulin erupted
",https://www.nps.gov/cavo/learn/nature/geologicactivity.htm,Geologic Activity - Capulin Volcano National Monument (U.S. ...,"Mar 10, 2022 ... After this dormant period, the most recent phase of eruptions in the volcanic field, know as the Capulin phase, began and lasted from around ...",NR
0,"when was the last time capulin erupted
",https://newmexiconomad.com/capulin-volcano/,New Mexico National Monuments : Capulin Volcano,"Capulin is a classic cinder cone volcano. The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions.",NR
0,"when was the last time capulin erupted
",https://www.nps.gov/cavo/learn/nature/volcanic-fields.htm,Volcanic Fields - Capulin Volcano National Monument (U.S. ...,"Apr 20, 2020 ... Volcanic fields are regions of volcanic activity that tap one magma source. Eruptions in the RCVF began approximately 9 million years ago, with ...",NR
0,"when was the last time capulin erupted
",https://nmnaturalhistory.org/volcanoes/raton-clayton-volcanic-field-capulin-volcano,Raton-Clayton Volcanic Field: Capulin Volcano | New Mexico ...,"At any one time during the field's active lifetime, this means that it ... Recent research suggests that the alignment is due to preferred eruption of ...",NR
1,"What year did the Capulin Volcano in New Mexico Last errupt
",https://earthobservatory.nasa.gov/images/88581/capulin-volcano-national-monument,Capulin Volcano National Monument,"Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller ...",NR
1,"What year did the Capulin Volcano in New Mexico Last errupt
",https://www.nps.gov/cavo/learn/nature/geologicactivity.htm,Geologic Activity - Capulin Volcano National Monument (U.S. ...,"Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano ...",NR
1,"What year did the Capulin Volcano in New Mexico Last errupt
",https://nmnaturalhistory.org/volcanoes/raton-clayton-volcanic-field-capulin-volcano,Raton-Clayton Volcanic Field: Capulin Volcano | New Mexico ...,"Capulin was once believed to be as young as 11,000 years old; however, recent ... in size and morphology to Paricutin volcano, Mexico which erupted in 1943.",NR
1,"What year did the Capulin Volcano in New Mexico Last errupt
",https://www.nps.gov/cavo/learn/nature/volcanic-fields.htm,Volcanic Fields - Capulin Volcano National Monument (U.S. ...,"Apr 20, 2020 ... Capulin Volcano blanketed 15.7 square miles with its lava flows, but it was not the only volcano to transform the New Mexico landscape.",NR
1,"What year did the Capulin Volcano in New Mexico Last errupt
",https://newmexiconomad.com/capulin-volcano/,New Mexico National Monuments : Capulin Volcano,"The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic ...",NR
2,"What year did the Capulin Volcano Last errupt
",https://earthobservatory.nasa.gov/images/88581/capulin-volcano-national-monument,Capulin Volcano National Monument,"Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller ...",NR
2,"What year did the Capulin Volcano Last errupt
",https://www.nps.gov/cavo/learn/nature/geologicactivity.htm,Geologic Activity - Capulin Volcano National Monument (U.S. ...,"Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano became ...",NR
2,"What year did the Capulin Volcano Last errupt
",https://www.npca.org/parks/capulin-volcano-national-monument,Capulin Volcano · National Parks Conservation Association,"The Capulin Volcano last erupted more than 60,000 years ago. From a vent in the earth, pressurized magma exploded into the air, raining lava rock, ...",NR
2,"What year did the Capulin Volcano Last errupt
",https://www.nps.gov/cavo/learn/nature/volcanic-fields.htm,Volcanic Fields - Capulin Volcano National Monument (U.S. ...,"Apr 20, 2020 ... Volcanic fields are regions of volcanic activity that tap one magma source. Eruptions in the RCVF began approximately 9 million years ago, with ...",NR
2,"What year did the Capulin Volcano Last errupt
",https://nmnaturalhistory.org/volcanoes/raton-clayton-volcanic-field-capulin-volcano,Raton-Clayton Volcanic Field: Capulin Volcano | New Mexico ...,"Capulin was once believed to be as young as 11,000 years old; however, recent geological studies have dated it at 56,000 to 62,000 years. Capulin Mountain ...",NR
3,"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",https://www.nps.gov/orpi/learn/nature/saguaro-cactus.htm,Saguaro Cactus - Organ Pipe Cactus National Monument (U.S. ...,"Jan 6, 2016 ... While the saguaro cactus has become a symbol of the American West, the saguaro cactus will only grow in the Sonoran desert. As a desert ...",NR
3,"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",https://www.usatoday.com/border-wall/story/immigration-mexico-border-deaths-organ-pipe-cactus/608910001/,"Border crossers, and the desert that claims them",Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to cross in more desolate areas. · Organ Pipe Cactus ...,NR
3,"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",https://www.nps.gov/orpi/learn/nature/plants.htm,The GREEN Desert - Organ Pipe Cactus National Monument (U.S. ...,"Feb 24, 2015 ... Just like backing up your computer prevents data loss, growing plants in dedicated botanical gardens preserves species when their current range ...",NR
3,"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",https://www.theguardian.com/us-news/2015/oct/15/organ-pipe-national-monument-migrants-mexico,Arizona's Organ Pipe park is a 'paradise' for tourists but a death trap ...,"Oct 15, 2015 ... The death of a park ranger at the Organ Pipe Cactus National Monument in 2002 put the area at the forefront of America's border crackdown, ...",NR
3,"In Arizona what dessert is the Organ Pipe Cactus Monument found in
",https://www.tripadvisor.com/LocationPhotoDirectLink-g60924-d143229-i37307658-Organ_Pipe_Cactus_National_Monument-Ajo_Arizona.html,"Giant cactus, organ pipe, arizona, with car - Picture of Organ Pipe ...","Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 627 candid photos and videos ...",NR
